Number,ID,Created At,Text,Sentiment,Likes
16,1.82E+18,Mon Jul 29 11:08:29 +0000 2024,"Is it just me, or does anyone else find it problematic how the Finance Minister of India talks about the middle class?

#UnionBudget2024 
#UPSCaspirant #RahulGandhi #loksabha #ArvindKejriwal #LokSabha https://t.co/dvA08RO91u",-1,0
17,1.82E+18,Mon Jul 29 11:08:27 +0000 2024,"Manufacturing Takes Center Stage in Union Budget
#indiaipo #latestipo #mainboardipo #SEBI #nse #BSE #IPO  #modiji #Manufacturing #pm #nirmalasitaraman #Electronics #Budget2024 https://t.co/nT9nOmxOBe",1,1
19,1.82E+18,Mon Jul 29 11:07:09 +0000 2024,"#Budget2024: We want development to reach every corner of the country... The present budget indicates the direction of the next five years, says @nsitharaman at the #OpenHouse2024
@OfficialGMDC @sanskritigroup1 @Fortinet https://t.co/ZIJ7REwZn2",1,2
20,1.82E+18,Mon Jul 29 11:06:40 +0000 2024,"“The chakravyuh that has captured India has three forces behind it: the monopoly leading to the concentration of financial power; the institutions such as ED and CBI; and political monopoly…,” LoP Rahul Gandhi said.

#rahulgandhi #congress #Budget2024 

https://t.co/VMOzcHXTDK https://t.co/r7mwNvolwG",0,10
21,1.82E+18,Mon Jul 29 11:06:19 +0000 2024,"Union Budget 2024-25 is a glaring example how Hollow, Empty,&amp; Junk, Mahamanav's  theory of"" Sab  ka saath sab ki Vikas"". Out of 28 states  &amp; 8 UTs, only 2 states got ₹ 60 k Cr for infrastructure development, since both states have Trump Cards to eject out power hungry Despot 56""",-1,0
22,1.82E+18,Mon Jul 29 11:05:51 +0000 2024,"LoP Rahul Gandhi 🔥 

Best speech in Lok sabha ⚡⚡💪💪

If you agree Retweet 

#rahulgandhi #parliament #virelvideo
#RahulGandhiVoiceOfIndia #AvadhOjha #Budget2024 https://t.co/vviKbc90X7",1,148
23,1.82E+18,Mon Jul 29 11:04:46 +0000 2024,"The 2024-25 Budget strengthens this monopoly and neglects tax terrorism, paper leaks, and pensions for Agniveers. The UPA broke similar traps with MGNREGA and the Green Revolution. We'll do it again with a caste census.'  #Budget2024 #RahulGandhi",1,0
29,1.82E+18,Mon Jul 29 11:02:02 +0000 2024,"Spotting SC/ST/OBC faces here is tougher than finding a needle in a haystack. But when these budgets were drafted Rahul baba was, presumably,  vacationing. #Budget2024 #BudgetReactions https://t.co/OTshdV291Z",-1,0
30,1.82E+18,Mon Jul 29 11:00:30 +0000 2024,"#BudgetForViksitBharat
Capital and Entrepreneurship Reforms Proposed in the Union Budget 2024
via NaMo App https://t.co/S3BNFAR52o",0,0
31,1.82E+18,Mon Jul 29 11:00:30 +0000 2024,"Proudly will continue to call him the De-Facto Prime Minister of India

#Parliament #BudgetSession2024 #RahulGandhi #LoP #CasteCensus #Budget #RaGa",1,0
32,1.82E+18,Mon Jul 29 11:00:30 +0000 2024,"Even as the centre made substantial allocation for #AndhraPradesh in #UnionBudget2024, both Andhra and #Telangana are yet to receive all of the centre's promises post-bifurcation.

@Saicharan_Sana reports

https://t.co/gBqwKttJ6h",-1,1
33,1.82E+18,Mon Jul 29 11:00:02 +0000 2024,"#BaatBharatKi | ‘MSP Given, But Not to Farmers, Naidu and Nitish Get Minimum Price for Support’

In this episode, @MissfitMee is joined by @seemay and @whoskj2 to discuss how the #Budget2024 benefits JDU and TDP, the members of the NDA.

Watch Now: https://t.co/yt7tLwUUHM https://t.co/Ke9HtMouso",-1,19
35,1.82E+18,Mon Jul 29 10:59:19 +0000 2024,"T For TRAGEDY! 

#TrinamooleNaboJowar #WestBengal #Budget2024 https://t.co/tdVfpUPOyC",-1,98
38,1.82E+18,Mon Jul 29 10:55:23 +0000 2024,"@RahulGandhi  is making a very clear pitch for a more inclusive and equitable India. ‘The battle is between a Chakravyuh that is controlled by 5-6 people and Shiv ji ki Baarat that is truly inclusive. He also guaranteed MSP.
#RahulGandhi #Budget2024 #farmers https://t.co/6hPAZUaH9X",1,1
39,1.82E+18,Mon Jul 29 10:54:43 +0000 2024,95 % of the population and #NammoTai thinks 🤔 it's a laughing matter #BudgetSession2024 @RahulGandhi,0,0
40,1.82E+18,Mon Jul 29 10:54:33 +0000 2024,@RahulGandhi @Jairam_Ramesh Good analogy. #RahulGandhi #Parliament #BudgetSession2024,0,0
41,1.82E+18,Mon Jul 29 10:54:27 +0000 2024,"Explore the key highlights of the #unionbudget24 
focused on #RuralDevelopment.

Discover the allocations &amp; their impact on vital schemes aimed at uplifting rural communities &amp; enhancing infrastructure.
@jaxayshah @QualityCouncil

#Budget2024 #ruraldevelopment #economicgrowth https://t.co/DOZdCW2cm3",1,0
43,1.82E+18,Mon Jul 29 10:52:55 +0000 2024,"""The Agniveer martyr families were given only insurance, not compensation,"" claims @RahulGandhi, LoP, Lok Sabha. 
#Budget2024 #RahulGandhi #Chakravyuh #LokSabha https://t.co/1lMyW7TvVY",0,370
46,1.82E+18,Mon Jul 29 10:51:59 +0000 2024,#FinanceMinister on caste census demand by #LoP - she laughs it off so this is how #BJP treats the backward class - they laugh at them #BudgetSession2024,-1,1
48,1.82E+18,Mon Jul 29 10:51:44 +0000 2024,"TAX AUNTY 😭

NDA'S ECONOMIC POLICY 

COUNTRY'S MISFORTUNE 

#Budget2024 https://t.co/dfuLFHA9BY",-1,0
53,1.82E+18,Mon Jul 29 10:49:21 +0000 2024,Lier Lier.... A stupid but dangerous lier #RahulGandhi #Budget2024,-1,0
54,1.82E+18,Mon Jul 29 10:49:19 +0000 2024,"@RahulGandhi Why is Congress failing to implement MSP legal guarantee in states like Karnataka, Telangana, HP, Punjab, TN, and Kerala, despite parliamentarians' empty rhetoric? #Budget2024 #Paris2024 #ModiGovernment",-1,0
55,1.82E+18,Mon Jul 29 10:47:12 +0000 2024,"Modi 3.0 Budget

Promises vs. Reality – Social Sector Takes a Hit as Rural Development, Education, and Health Expenditures either Stagnate or Decline.

#Budget2024 https://t.co/4t0U58EKpn",-1,0
56,1.82E+18,Mon Jul 29 10:46:44 +0000 2024,"@INCIndia Rahul Gandhi, the Leader of Opposition in the Lok Sabha, criticized the Union Budget 2024-25 during a parliamentary session. He highlighted issues such as the lack of representation of SC/ST/OBC/Minorities in the budget's decision-making process and restrictions imposed on",-1,0
57,1.82E+18,Mon Jul 29 10:46:11 +0000 2024,"#INDEXATION #Budget2024 

The removal of indexation and reduction of LTCG to 12.50% is indded beneficial to everyone.. or say 90% of the people.

below is the example https://t.co/VRqKNvbc2w",1,0
58,1.82E+18,Mon Jul 29 10:46:07 +0000 2024,"@srivatsayb By this argument of @RahulGandhi we must conclude that all developed nations became rich by doing a detailed census and looking after the minorities. In reality, #USA just exterminated its indigenous population &amp; Europe its Jewish population!! #Budget2024 @nsitharaman",-1,0
59,1.82E+18,Mon Jul 29 10:46:02 +0000 2024,"It's #paris2024olympics month, Most of our Olympics medalist are from Rural background and Our sports minister is introducing ""Skills"". It's a shame!!! @mansukhmandviya #Budget2024",-1,0
63,1.82E+18,Mon Jul 29 10:45:04 +0000 2024,"#RahulGandhi stands with the middle class of this nation.
#Budget2024 
https://t.co/myCcRA3xbD",1,2
64,1.82E+18,Mon Jul 29 10:44:49 +0000 2024,@TVMohandasPai @narendramodi @nsitharaman @FinMinIndia 'Middle class is reacting like slighted lovers over #Budget2024 ' is an apologetic statement by Shekhar Guptaji to express his profound happiness over the reality of middle class badly upset &amp; angry over the budget.,-1,4
65,1.82E+18,Mon Jul 29 10:44:31 +0000 2024,"The #budget presented by Hon'be FM is anti -labour, .No provision in #Budget2024 for poor peope,ST,SC,OEC and other weaker sections of the society..
@RahulGandhi #RahulGandhiVoiceOfIndia #Rahul_Gandhi #Congress #ceremoniedouverture https://t.co/Vl74wlHkYt",-1,0
66,1.82E+18,Mon Jul 29 10:43:26 +0000 2024,"What was done with Abhimanyu, is being done with India: Rahul Gandhi
#rahulgandhispeech #RahulGandhi #Budget2024 #loksabhasession #LokSabha 
Read more: https://t.co/YMGVAO2Z9Z",-1,0
69,1.82E+18,Mon Jul 29 10:42:22 +0000 2024,Common on middle class. You should keep donating taxes for such activities #Budget2024 @PMOIndia #Kanwariyas #KanwarYatra #middleclass @nsitharaman https://t.co/aQQPzBjcUE,-1,0
70,1.82E+18,Mon Jul 29 10:41:33 +0000 2024,"You know why people are liking @narendramodi ji? Because of @RahulGandhi. When people want to trust RAGA, he does something foolish (🦜). 
#Budget2024 #BudgetSession2024",-1,0
71,1.82E+18,Mon Jul 29 10:41:06 +0000 2024,"@dmuthuk @narendramodi A @g20org #Brazil meeting of #FinanceMinisters whr d growing need for #taxing d rich is its sole agenda, and our Madam and #RBI govrnr are going thr. Ds hs km at d right time. Relief fr #middleclass is possible only when d govt taxes d rich and filthy rich. #Ltcg #Budget2024",-1,0
73,1.82E+18,Mon Jul 29 10:38:54 +0000 2024,"Being the LoP in the LoS, he is expected to raise important issues which the entire Country is facing due to the provisions made in the recent #Budget2024 but just look what issue he is raising! 🤦🤦

Why the @INCIndia is not asking the right questions about the Budget ??",-1,1
75,1.82E+18,Mon Jul 29 10:38:03 +0000 2024,"Your government has robbed the young middle class of opportunity, wealth, and growth.

No wonder rich Indians run towards other nations.

@narendramodi @nsitharaman thank you for your tax terrorism on our dreams and pockets.

#TaxTerrorism 
#Budget2024 
#India 
#ModiFails",-1,0
76,1.82E+18,Mon Jul 29 10:37:45 +0000 2024,"Barrister #AsaduddinOwaisi Today In #LokSabha (#Parliament) 

Responding to #Modi Government’s #Budget2024, Barrister @asadowaisi Raised Issues Concerning Unemployment, Rural Distress &amp; The Economic Injustice Faced by #Muslims.. https://t.co/fZ24IiE1Mf",-1,3
77,1.82E+18,Mon Jul 29 10:37:20 +0000 2024,"How to Insult Someone Face-to-Face
#Budget2024 
#NirmalaSitharaman https://t.co/0Fc8TYYsAw",-1,1
78,1.82E+18,Mon Jul 29 10:37:06 +0000 2024,"In times of global economic turbulence, Union Budget 2024 stands as a harbinger of fiscal prudence and strategic foresight, aiming to boost the might of the Indian economy.

 By: @Sanju_Verma_ | #Economy #UnionBudget 

https://t.co/H3ygWTFKQ9 https://t.co/tbaG61XkbS",1,3
79,1.82E+18,Mon Jul 29 10:36:14 +0000 2024,"When you can steal their hard earned money in such a brutal imposement of tax, why can't you provide them the same? Why can't govt. impose restrictions to the IT sector about, ""work pressure, strict 8hrs of work(like US &amp; EU), monitoring employees health,etc.
(2/3)
#Budget2024",-1,0
80,1.82E+18,Mon Jul 29 10:36:14 +0000 2024,"#Budget2024
So, IT employees are the highest tax payers. The tax paying standards of India has been levelled up to USA. But what about the ""work culture""?

Work Hours, Work Pressure, Work Load - not monitored 🚫❌🚫
(1/3)",-1,2
81,1.82E+18,Mon Jul 29 10:33:33 +0000 2024,"@RahulGandhi raising the root cause of the issue.  #Budget is being prepared by people who never experienced Garibi, pichhdapan, struggle of middle class, so they make it for rich, which they're.  Why will they even bother for others.  Thank you Rahulji 🙏👏👍
#Budget2024",-1,0
82,1.82E+18,Mon Jul 29 10:32:51 +0000 2024,"Finance Minister Nirmala was laughing when LoP Rahul Gandhi demanded for a caste census and pointed out of the lack of representation of SC/ST/OBC/Minorities in the budget’s decision making process.

#Budget2024 #RahulGandhi #NirmalaSitharaman https://t.co/7dASrLxBhY",0,1
83,1.82E+18,Mon Jul 29 10:32:43 +0000 2024,"Rahul Gandhi said 'Budget ka Halwa' is being distributed in this photo and I can't see a single OBC, tribal, or Dalit officer in this photo.
#Rahul_Gandhi 
#UPSCaspirants 
#narendra_modi 
#Budget2024 https://t.co/8zw3UcbHXU",0,0
84,1.82E+18,Mon Jul 29 10:32:38 +0000 2024,"If flattery is an art, then Sardesai is a champion. Well done !
#Budget2024 
#RajdeepSardesai 
#Parliament",1,0
85,1.82E+18,Mon Jul 29 10:31:50 +0000 2024,https://t.co/Pm4KBItars - #BJP rattled again when @RahulGandhi spoke on #Budget2024,1,0
86,1.82E+18,Mon Jul 29 10:31:32 +0000 2024,She deserve a person like him more। At least he managed to bother her। Well done Rahul। #Budget2024,1,0
87,1.82E+18,Mon Jul 29 10:30:59 +0000 2024,"@CAChirag @nsitharaman Abolish Income Tax or Income tax payers should be exempt from GST! 
Scrap either STT OR LTCG. Can't have both as it's double taxation @nsitharaman
#Budget2024 
#IncomeTax",-1,0
92,1.82E+18,Mon Jul 29 10:29:59 +0000 2024,"Of 20 who prepared Union Budget 2024, only two belonged to minorities, OBCs: Rahul Gandhi 
@RahulGandhi #UnionBudget2024 #MinorityRepresentation #OBCs #BudgetTeam #LackOfDiversity #InclusionMatters #IndianPolitics #Budget2024 #CongressCriticism
https://t.co/ZeKwvv4EuJ",-1,0
93,1.82E+18,Mon Jul 29 10:29:50 +0000 2024,"In 2014 Modiji used to say that India's education budget should be 7%. 

At that time the education budget was around 4.5% of India's budget.

You can see the difference.
#RahulGandhi #ModiGovernment 

#EducationMatters 
#Budget2024",-1,0
94,1.82E+18,Mon Jul 29 10:29:26 +0000 2024,"@RahulGandhi is attacking on all the weak points of #Budget and #BJP 
#RahulGandhiVoiceOfIndia #Rahul_Gandhi #Congress #Rahul_Gandhi #Budget2024 https://t.co/9ag5yygBAc",1,1
97,1.82E+18,Mon Jul 29 10:27:41 +0000 2024,"‘Viksit Bharat’? Not If You Look at Low Allocations for Poor and Middle Classes

This #Budget2024 displays the Modi govt's continued state of iIntellectual bankruptcy.

Deepanshu Mohan, Bhanavi Behl, Aditi Desai, Niharika Amte, Theresa Jose✍️
https://t.co/pfUueXwy7e",-1,16
98,1.82E+18,Mon Jul 29 10:27:38 +0000 2024,"Capital gains is the fastest growing income class, can be taxed higher: Finance Secretary TV Somanathan

This is a shocking statement and shows lack of apathy to the situation.

#LTCG #STCG #Budget2024

@nsitharaman @nsitharamanoffc",-1,0
99,1.82E+18,Mon Jul 29 10:26:38 +0000 2024,"#Budget2024: A lot of work has to be done together with the states. We have indicated how possibly we are engaging with the states, says @nsitharaman at the #OpenHouse2024
@Fortinet @OfficialGMDC @sanskritigroup1 https://t.co/lt785bSQRC",0,1
101,1.82E+18,Mon Jul 29 10:26:15 +0000 2024,"@dhruvrahtee Watch How BJP FOOLED Middle class once again.

Nirmala Sitharaman's Tax Pro Max 

#DhruvRathee #Budget2024",-1,0
102,1.82E+18,Mon Jul 29 10:25:57 +0000 2024,"1. #Budget2024 brought New Credit Guarantee Scheme for MSMEs in manufacturing sector for Term Loan for purchase of machinery, no collateral or 3rd party guarantee &amp; with a guarantee cover up to Rs.100 CR
This will help the borrowers with ease in credit without security
(2)
Read👇🏻",1,1
103,1.82E+18,Mon Jul 29 10:25:30 +0000 2024,"Watch How BJP FOOLED Middle class once again.

Nirmala Sitharaman's Tax Pro Max 

Watch here : https://t.co/4fYfGDUoAD

#DhruvRathee #Budget2024 https://t.co/w8HSgt1Ek0",-1,42
104,1.82E+18,Mon Jul 29 10:25:19 +0000 2024,"'India is trapped in a 'chakravyuh' represented by the Lotus symbol that Prime Minister Narendra Modi wears on his chest,' says Lok Sabha LoP Rahul Gandhi, while attacking the centre in Parliament

#rahulgandhi #nirmalasitharaman #budget2024 #parliament #cnbctv18digital https://t.co/LXvXdY6zPr",-1,5
106,1.82E+18,Mon Jul 29 10:24:29 +0000 2024,"#RahulGandhiVoiceOfIndia 🔥

Middle class of Country has done everything told by Modi including Thali Bajao &amp; Mobile torch flashing during Covid times

But still Modi backstabbed them in #Budget2024 

LoP Rahul Gandhi 🔥🙌

#Chakravyuh #Delhi #Parliament
 https://t.co/OeaQtm8LIW",-1,32
107,1.82E+18,Mon Jul 29 10:24:23 +0000 2024,"When Rahul Gandhi was speaking on SC-ST-OBC reservations, Nirmala Sitharaman was laughing. 

This is simply what BJP thinks about SC-ST-OBC.

Finance Minister @nsitharaman
 MUST APOLOGISE!

#RahulGandhi #NirmalaSitharaman #Budget2024 #Budget https://t.co/NpEYrIgvl6",-1,0
108,1.82E+18,Mon Jul 29 10:24:01 +0000 2024,"One person’s decision, a whole nation’s journey! 🤔
#Budget2024 #BudgetReactions #BudgetForViksitBharat",0,1
109,1.82E+18,Mon Jul 29 10:22:51 +0000 2024,"Responding to Modi government’s budget, Barrister Asaduddin Owaisi spoke in Lok Sabha and raised issues concerning unemployment, rural distress &amp; the economic injustice faced by Muslims.

#AIMIM #AsaduddinOwaisi #parliament #BudgetSession2024 #Budget2024 #delhi #muslim #LokSabha https://t.co/qhbDPLxcXv",-1,1
110,1.82E+18,Mon Jul 29 10:22:34 +0000 2024,"@RahulGandhi  Thank you so much for this! It's what we've been wanting—at least someone from the entire political fraternity, for heaven's sake, to consider the middle class in your speeches and policies. #Rahul_Gandhi 
#RahulGandhi #Budget2024",1,1
111,1.82E+18,Mon Jul 29 10:22:23 +0000 2024,"""You have locked the media people in a cage, please let them out sir"": @RahulGandhi, LoP, Lok Sabha
#Budget2024 #RahulGandhi #Chakravyuh #LokSabha https://t.co/bv1AoqbItO",-1,295
114,1.82E+18,Mon Jul 29 10:21:36 +0000 2024,"#Budget2024: This Budget is first of all a futuristic Budget. We are looking at futuristic India and the necessary action required at this stage, says @nsitharaman at the #OpenHouse2024
@OfficialGMDC @sanskritigroup1 @Fortinet https://t.co/a1LNJJ0yU3",1,2
115,1.82E+18,Mon Jul 29 10:20:48 +0000 2024,"'PM Modi has stabbed the middle class in #Budget2024', says Congress MP &amp; Leader of Opposition in Lok Sabha Rahul Gandhi. Watch his full speech in Parliament: 

#ThePrintUncut

https://t.co/wM1vExZsEZ",-1,2
116,1.82E+18,Mon Jul 29 10:20:42 +0000 2024,"#FinanceMinister 20 bureaucrats have made the #Budget2024 and 2 percent people are benefiting #chakrayu #Congress releases AI, A2 poster https://t.co/inLehKdyMt",-1,0
117,1.82E+18,Mon Jul 29 10:20:18 +0000 2024,"The best TAX Explanation video ever 😓
#Budget2024 #TaxTerrorism 
And also our taxation money is used to fuel nonsense #LokSabha debates too. We are doomed 😵‍💫 https://t.co/TehGG5iWZB",-1,1
118,1.82E+18,Mon Jul 29 10:18:59 +0000 2024,"@nsitharaman expression during @RahulGandhi budget speech suggested she's up against the most inept leader ever. He seems clueless about parliamentary rules, treating it like an election rally. Meanwhile, Congress is heavily pushing casteism. #Parliament 
#Budget2024 #Casteism",-1,0
119,1.82E+18,Mon Jul 29 10:17:53 +0000 2024,"Shri Rahul Gandhi was cornering his opposition from everywhere, the condition of the opposition is worsening, people are saying this.

#Budget2024 #Rahul_Gandhi #RahulGandhiVoiceOfIndia #RahulGandhi #BudgetForViksitBharat",-1,1
121,1.82E+18,Mon Jul 29 10:17:41 +0000 2024,"According to the agenda released, the discussion on the #UnionBudget2024-25, presented on July 23, will continue in both Houses of Parliament on Monday.",0,0
122,1.82E+18,Mon Jul 29 10:17:27 +0000 2024,"54 years old Uncle #Rahul_Gandhi playing dirty caste politics during #Budget2024 discussion in #Parliament #LokSabha .

Kaka #RahulGandhi said- ""Budget ka halwa' is being distributed in this photo. 
~ I can't see one OBC or tribal or a Dalit officer in this.""

Even FM https://t.co/hQi7lV2WyN",-1,184
124,1.82E+18,Mon Jul 29 10:16:21 +0000 2024,"Tackling #unemployment  head-on: #Employment -linked incentive, #skilling programme and other initiatives 
#Budget2024 #Jobs #BudgetReactions 
@XpressBengaluru @TNIEBiz @Dipak_Journo 
https://t.co/ltWa2Vd44S",1,1
126,1.82E+18,Mon Jul 29 10:16:00 +0000 2024,"Op-ed | #UnionBudget2024 proposes significant changes in #capitalgains taxation which may impact certain #investors, but the focus remains on #simplifyingtaxes and #easeofcompliance - An expert view by @ParizadSirwalla, @KPMGIndia https://t.co/KMCqsg3l4D https://t.co/ExYXnnmhei",0,0
127,1.82E+18,Mon Jul 29 10:15:43 +0000 2024,"Shifting of goal post again by Rahul Gandhi!!
During Covid, He pleaded that Focus should be on Large businesses &amp; not MSMEs.
Today in parliament he had the audacity to say that this budget is tailor made for large businesses…
BTW even thats not factual. #Budget2024 has catered https://t.co/nhQfiNMPJx",-1,4
128,1.82E+18,Mon Jul 29 10:15:01 +0000 2024,"No value of Middle class..in #BJP govt
#RahulGandhiVoiceOfIndia 
#Congress #RahulGandhi #Rahul_Gandhi #Budget2024 https://t.co/kR3liM0zhn",-1,5
129,1.82E+18,Mon Jul 29 10:14:15 +0000 2024,"please do not treat us like beggars @nsitharaman 
#Budget2024 
worst government india has seen",-1,0
130,1.82E+18,Mon Jul 29 10:13:39 +0000 2024,"Fees, commissions, and taxes can significantly erode investment returns.
Frequent trading can lead to high transaction costs and short-term capital gains taxes, reducing overall profitability.

#Budget2024  #trading #investing #Stocks",0,0
131,1.82E+18,Mon Jul 29 10:13:25 +0000 2024,"Who shall i trust? 

#Conservatives pretending the country and the economy are fine. A party of liars and fraudsters

Or

#Labour a party just elected trying to fix the mess

#PMQs #Budget2024

BBC News - Reeves set to axe projects to plug budget shortfall
https://t.co/Xya71kyEfX",0,0
132,1.82E+18,Mon Jul 29 10:13:06 +0000 2024,I invested close to 2.4 lakh. Now my holding is at a loss of 14k. Booked profit on two stocks . 20% got debited for STCG. Earned only ₹1800. My loss is my loss. My profit is theirs. #Budget2024 #NirmalaSitharaman,-1,0
133,1.82E+18,Mon Jul 29 10:13:02 +0000 2024,"New schemes in #budget2024! Scheme A: 1 month salary for first-timers, Scheme B: incentives for manufacturing jobs, Scheme C: EPFO support for employers. Kudos @mansukhmandviya @ShobhaBJP @labourministry for these initiatives! #BudgetForViksitBharat",1,0
136,1.82E+18,Mon Jul 29 10:10:21 +0000 2024,"#sadhguru #tax #Budget2024 #NirmalaSitharaman #Olympic2024 #SEBI #financeminster 

We need this man in charge of this nation https://t.co/4Sh2xqcMIl",0,0
137,1.82E+18,Mon Jul 29 10:10:16 +0000 2024,"@ProsaicView 
BJP makes promises of jobs and projects in the future. But nothing is done on the ground now. 
Why? It's always promises. BJP gives no accountability. 
Congress MP &amp; LoP Rahul Gandhi attacks Modi govt over #Budget2024 in Lok... https://t.co/hMrSpW2diw via @YouTube",-1,1
138,1.82E+18,Mon Jul 29 10:09:31 +0000 2024,"Hindustan Chamber of Commerce  conducted the Programme on the topic ""POST BUDGET ANALYSIS ""  on 27th July 2024.
#HCC2024 #HindustanChamber #Industry #management #UnionBudget2024 https://t.co/rC9BRO2Elt",0,0
141,1.82E+18,Mon Jul 29 10:08:36 +0000 2024,"That moment is not far when #IncomeTaxPortal will say , Go to Pakistan if anyone asks for #Extend_due_date_immediately .

#Budget2024 is another slap on Middle Class.

Everything is going too good for looters of Gujarati gangs.",-1,3
142,1.82E+18,Mon Jul 29 10:08:26 +0000 2024,"In Lok Sabha, LoP Rahul Gandhi displays a poster of the traditional Halwa ceremony at the Ministry of Finance before the Budget session. He remarks, ""In this 'Budget ka halwa' photo, I don't see any OBC, tribal, or Dalit officers.  #Budget2024 #RahulGandhi https://t.co/9sqvOhdQc2",0,0
146,1.82E+18,Mon Jul 29 10:07:14 +0000 2024,"#RahulGandhi, Leader of the Opposition, said in #LokSabha on Monday that the #UnionBudget2024 did not allocate any funds for Agniveer pensions.
https://t.co/DrQcnqcN3q",0,1
148,1.82E+18,Mon Jul 29 10:06:46 +0000 2024,"Leader of the Opposition, #RahulGandhi addressed #LokSabha saying Union Budget 2024 did not give “even a single penny for the pension of the Agniveers"".

Read to know more👇
https://t.co/pbJO3smH7G

#INDIABloc #AgniveerScheme #RajnathScheme",-1,3
149,1.82E+18,Mon Jul 29 10:06:13 +0000 2024,"Big win for employment! The #budget2024 introduces Scheme A for first-timers, Scheme B for manufacturing job creation, and Scheme C for employer EPFO support. @mansukhmandviya @socialepfo @labourministry Let's make these a success! #BudgetForViksitBharat",1,0
151,1.82E+18,Mon Jul 29 10:05:33 +0000 2024,"Finance Minister Nirmala Sitharaman Be Like: 

""Is he the successor of that political party and family that ruled for more than 60-70 years?""

Grow up RaGa, plz!

#ParliamentSession #Budget2024 #BudgetSession #RahulGandhi #NirmalaSitharaman #Parliament https://t.co/TJM15AEK7t",-1,10
152,1.82E+18,Mon Jul 29 10:05:19 +0000 2024,"“The budget sought to balance fiscal discipline with the need to fuel employment and consumption growth while managing coalition dynamics,” says Soumendra Ghosh, CIO, Vivriti Asset Management(@Vivriti_AMC)

Check out his take on Union Budget 2024 ↓

#unionbudget2024 #pmsbazaar https://t.co/XrOba3qEVM",1,0
154,1.82E+18,Mon Jul 29 10:04:57 +0000 2024,"The Union Budget 2024-25 brings exciting initiatives for the Manufacturing &amp; Services sectors, focusing on Youth &amp; MSMEs.

#Budget2024 #BudgetForViksitBharat #NSSIndia #budgetforyouth #yuva #YouthDevelopment
@_NSSIndia @khadseraksha @mansukhmandviya @YASMinistry https://t.co/jTLipZjCc9",1,10
155,1.82E+18,Mon Jul 29 10:04:50 +0000 2024,"@INCIndia @RahulGandhi 
Can u find any OBC Or Minority Muslim in Budget Halwa ceremony during ur party regime. 

@BJP4India 
#LokSabha #Budget2024 https://t.co/im9gBsjM79",-1,1
